time,input_steer,input_gas,input_brake,speed_kmh,rpm,gear,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,pitch,roll,is_sliding,wheels_contact_count
-2600,0,0,0,0.15,0.0,1,1.00,1.00,1.00,-0.012,0.037,-0.010,0.170,-0.517,-0.621,0,0
-2590,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2580,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2570,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2560,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2550,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2540,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2530,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2520,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2510,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2500,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2490,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2480,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2470,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2460,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2450,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2440,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2430,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2420,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2410,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2400,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2390,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2380,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2370,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2360,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2350,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2340,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2330,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2320,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2310,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2300,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2290,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2280,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2270,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2260,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2250,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2240,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2230,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2220,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2210,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2200,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
-2190,0,0,0,0.0,0.0,1,304.00,10.21,459.20,0.000,0.000,0.000,0.000,0.000,0.000,0,4
