time,input_steer,input_gas,input_brake,speed_kmh,rpm,gear,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,pitch,roll,is_sliding,wheels_contact_count
-2600,0,0,0,3.6,1.5,1074790400,0.00,1.00,0.00,0.000,1.000,0.000,0.322,0.785,-0.524,1,0
-2590,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2580,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2570,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2560,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2550,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2540,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2530,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2520,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2510,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2500,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2490,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2480,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2470,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2460,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2450,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2440,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2430,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2420,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2410,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2400,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2390,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2380,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2370,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2360,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2350,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2340,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2330,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2320,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2310,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2300,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2290,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2280,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2270,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2260,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2250,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2240,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2230,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2220,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2210,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2200,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2190,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2180,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2170,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2160,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2150,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2140,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2130,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2120,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2110,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2100,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2090,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2080,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2070,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2060,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2050,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
-2040,0,0,0,0.0,0.0,1,880.00,25.57,515.70,0.000,0.000,0.000,0.000,0.000,0.000,0,0
