time,input_steer,input_gas,input_brake,speed_kmh,rpm,gear,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,pitch,roll,is_sliding,wheels_contact_count
464880,0,0,0,0.03,0.0,1,831.05,24.01,738.52,-0.008,-0.000,-0.003,-0.417,-0.000,-0.000,0,4
464890,0,0,0,0.03,0.0,1,831.05,24.01,738.52,0.008,-0.000,0.003,-0.417,-0.000,0.000,0,4
464900,0,0,0,0.03,0.0,1,831.05,24.01,738.52,-0.008,-0.000,-0.003,-0.417,-0.000,-0.000,0,4
464910,0,0,0,0.03,0.0,1,831.05,24.01,738.52,0.008,-0.000,0.003,-0.417,-0.000,0.000,0,4
464920,0,0,0,0.03,0.0,1,831.05,24.01,738.52,-0.008,-0.000,-0.003,-0.417,-0.000,-0.000,0,4
464930,0,0,0,0.03,0.0,1,831.05,24.01,738.52,0.008,-0.000,0.003,-0.417,-0.000,0.000,0,4
464940,0,0,0,0.03,0.0,1,831.05,24.01,738.52,-0.008,-0.000,-0.003,-0.417,-0.000,-0.000,0,4
464950,0,0,0,0.03,0.0,1,831.05,24.01,738.52,0.008,-0.000,0.003,-0.417,-0.000,0.000,0,4
464960,0,0,0,0.03,0.0,1,831.05,24.01,738.52,-0.008,-0.000,-0.003,-0.417,-0.000,-0.000,0,4
464970,0,0,0,0.03,0.0,1,831.05,24.01,738.52,0.008,-0.000,0.003,-0.417,-0.000,0.000,0,4
464980,0,0,0,0.03,0.0,1,831.05,24.01,738.52,-0.008,-0.000,-0.003,-0.417,-0.000,-0.000,0,4
464990,0,0,0,0.03,0.0,1,831.05,24.01,738.52,0.008,-0.000,0.003,-0.417,-0.000,0.000,0,4
465000,0,0,0,0.03,0.0,1,831.05,24.01,738.52,-0.008,-0.000,-0.003,-0.417,-0.000,-0.000,0,4
465010,0,0,0,0.03,0.0,1,831.05,24.01,738.52,0.008,-0.000,0.003,-0.417,-0.000,0.000,0,4
